ticker,tier,dead,date,close_unadj,mcap,n,implied_spot,totvol,totoi,n_oi_pos,zero_bid,med_spread,earn_n,earn_covers_date
RGC2,cap2000,True,2014-06-19,21.21,3312.5,0,,,,,,,0,
SC,cap2000,True,2019-02-20,20.55,7384.7,192,20.599999999999998,185.0,33864.0,77.0,0.171875,0.12218649517684889,0,
SCG,cap2000,True,2012-04-23,45.18,5886.8,76,44.9,20.0,2218.0,17.0,0.35526315789473684,0.23325062034739452,0,
SLH,cap2000,True,2014-09-18,59.38,4074.0,92,60.025,3.0,558.0,22.0,0.391304347826087,0.3864990930292822,0,
STOR,cap2000,True,2022-02-09,30.75,8384.7,142,30.724999999999998,280.0,19307.0,89.0,0.2605633802816901,0.25000000000000006,0,
SWY,cap2000,True,2010-03-19,24.04,9769.9,90,23.9,4174.0,92708.0,63.0,0.23333333333333334,0.08247422680412361,0,
TCO,cap2000,True,2018-06-12,57.35,3497.9,90,56.85,29.0,6161.0,41.0,0.32222222222222224,0.14634146341463428,0,
TIVO1,cap2000,True,2010-04-26,18.53,2098.4,0,,,,,,,0,
VCRA,cap2000,True,2021-12-23,65.52,2279.8,132,65.55,1127.0,6291.0,50.0,0.09090909090909091,0.14972001178897731,0,
VIE,cap2000,True,2021-01-07,38.92,2134.3,56,39.0,0.0,39.0,9.0,0.17857142857142858,0.5263157894736842,0,
WLH,cap2000,True,2019-12-12,20.37,3011.6,66,20.3,44.0,2952.0,26.0,0.4090909090909091,0.37362637362637363,0,
WPZ,cap2000,True,2015-04-07,47.86,28079.2,64,47.45,1925.0,31954.0,36.0,0.21875,0.34313725490196073,0,
YRIV,cap2000,True,2018-06-28,11.63,2004.4,0,,,,,,,0,
ANNX,cap500,False,2020-08-26,23.12,780.5,0,,,,,,,28,True
APYX,cap500,False,2021-11-11,14.6,501.1,76,14.799999999999999,53.0,868.0,22.0,0.27631578947368424,0.3816793893129771,104,True
ARCC,cap500,False,2008-06-25,10.92,1060.9,14,10.725,0.0,1278.0,13.0,0.21428571428571427,0.20689655172413793,87,True
ASPS,cap500,False,2012-07-09,74.36,1733.4,108,74.42500000000001,55.0,2098.0,47.0,0.3055555555555556,0.20125786163522008,68,True
ASTE,cap500,False,2008-06-23,34.4,769.0,32,34.525,173.0,1307.0,22.0,0.03125,0.10169491525423738,121,True
BHF,cap500,False,2020-03-16,18.11,1903.3,144,18.450000000000003,478.0,29508.0,87.0,0.2708333333333333,0.4154589371980677,38,True
BLFS,cap500,False,2024-05-07,18.6,842.6,90,18.625,12.0,277.0,25.0,0.4777777777777778,0.1957446808510639,114,True
CCAP,cap500,False,2025-07-28,14.61,541.5,86,14.825000000000001,40.0,429.0,16.0,0.5232558139534884,0.19607843137254904,30,True
CECO,cap500,False,2024-07-03,28.34,990.1,130,28.650000000000002,6.0,1298.0,47.0,0.36923076923076925,0.4645354645354645,93,True
CHEF,cap500,False,2016-03-14,19.89,522.8,84,18.75,0.0,201.0,11.0,0.36904761904761907,0.5154639175257731,61,True
CRNC,cap500,False,2023-04-14,26.96,1084.5,86,27.1,8.0,5019.0,44.0,0.22093023255813954,0.25895316804407714,30,True
DKNG,cap500,False,2020-03-20,11.48,574.0,0,,,,,,,30,True
DPZ,cap500,False,2008-08-20,13.2,752.9,42,13.25,186.0,15232.0,27.0,0.09523809523809523,0.15894736842105267,89,True
ETD,cap500,False,2008-04-16,28.49,826.8,0,,,,,,,119,True
EVC,cap500,False,2015-06-10,7.43,652.2,40,7.25,0.0,858.0,13.0,0.35,0.19151103565365024,104,True
EVI,cap500,False,2021-02-10,43.19,529.1,0,,,,,,,106,True
FROG,cap500,False,2022-09-21,19.5,1936.6,144,19.65,251.0,29017.0,82.0,0.1597222222222222,0.16393442622950818,25,True
GLRE,cap500,False,2026-05-27,16.33,541.6,96,17.5,1.0,340.0,14.0,0.4895833333333333,0.47058823529411764,78,True
GPGI,cap500,False,2022-02-04,7.82,586.5,0,,,,,,,23,True
IRT,cap500,False,2018-08-01,10.19,886.3,58,10.15,3.0,2935.0,17.0,0.4482758620689655,0.2252050708426548,53,True
KMPR,cap500,False,2013-03-14,31.78,1861.0,0,,,,,,,120,True
KNTK,cap500,False,2021-04-07,55.63,903.8,0,,,,,,,37,True
LGND,cap500,False,2015-09-15,97.22,1930.3,168,96.6,29.0,2892.0,87.0,0.17857142857142858,0.20315261523764028,122,True
MANE,cap500,False,2026-03-09,51.32,1711.5,0,,,,,,,3,True
