ticker,sector,close,market_cap,volatility_60,composite_score,weight
CXM,Technology,5.55,1288550937.0,0.03331248166388199,0.33659699831722406,0.0022889157769517355
NRC,Healthcare,21.19,468713603.54,0.033741535648676435,0.3725151610608493,0.002259810153390748
FC,Industrials,18.81,212437751.13,0.03376146483553654,0.40422078713154597,0.002258476201234505
OXM,Consumer Cyclical,31.57,472864110.18,0.03399757532675738,0.2962805906480015,0.00224279126134809
DOCU,Technology,65.08,12163611576.16,0.034205186961178316,0.36783037748677655,0.0022291784265472763
DKNG,Consumer Cyclical,23.87,11850358125.76,0.03433371348889276,0.30192759036232747,0.0022208336093484968
MITK,Technology,17.83,804531928.42,0.03437963966319228,0.3013459108947227,0.0022178669002022584
BBWI,Consumer Cyclical,18.9,3811096415.7,0.03443934435857804,0.31601913235339146,0.002214021964413005
LE,Consumer Cyclical,10.88,321440395.52000004,0.03461781037131769,0.2949505058853858,0.0022026079648599256
PODD,Healthcare,142.28,9867715433.72,0.035288230729325284,0.312532751528673,0.0021607619105287116
UPWK,Industrials,8.32,1039195996.8000001,0.03535687754398759,0.30852888690082547,0.0021565667034656186
ACI,Consumer Defensive,12.14,5891853791.62,0.035734513716368856,0.3667323300100246,0.002133776478814861
LOVE,Consumer Cyclical,16.07,235239377.26,0.036058729389128616,0.30199581934705305,0.0021145910058845115
BOBS,Consumer Cyclical,17.5,2287023830.0,0.03619079661941457,0.28208544494456156,0.0021068744535170255
PEGA,Technology,35.8,5885697031.0,0.03628817523265136,0.3534652322142437,0.0021012206968529837
RCMT,Industrials,40.62,288839030.58,0.03638540078471151,0.28803586998941916,0.0020956060179475483
GTLB,Technology,47.15,7855190000.0,0.036429718992326214,0.29760974410640223,0.0020930566295594144
WRBY,Healthcare,24.76,3060535417.04,0.03649980597655865,0.2890558606829886,0.002089037538962392
NTRA,Healthcare,324.14,46722891263.799995,0.036572946985508566,0.2993629027102034,0.0020848597429156445
ANDG,Consumer Cyclical,53.85,6084428194.05,0.0366089887363562,0.33959435831319934,0.0020828071870270465
BVS,Healthcare,13.83,1162990700.4,0.03670384234130658,0.29268139317224284,0.0020774245960637093
EXTR,Technology,21.65,2825122637.45,0.03678724808331566,0.32746077888141284,0.0020727145634048326
DHX,Technology,4.3,186724017.0,0.037307241534522514,0.39766516041369426,0.0020438247834355943
PTRN,Consumer Cyclical,19.66,3487666089.7400002,0.03745195130589183,0.41021206850771896,0.0020359276937829286
DSP,Technology,13.48,896080816.24,0.03770117848544937,0.2842721851082377,0.0020224690026414715
CRCT,Technology,5.45,1141472067.2,0.037971880253663035,0.3589487325787373,0.0020080508086643754
INTA,Technology,39.86,3049734359.2799997,0.03807044606594295,0.371140538270026,0.0020028518898307867
QLYS,Technology,170.32,5892220570.32,0.03810965214207572,0.34944237929715993,0.0020007914154033996
CVLT,Technology,133.36,5527047055.040001,0.03827117971632397,0.3203983583913791,0.0019923468629672756
FNKO,Consumer Cyclical,5.68,318574398.56,0.0387580774033505,0.2886670701965681,0.001967318039446492
TBCH,Technology,12.3,220289445.3,0.038776250886825375,0.3328803271628022,0.0019663960054421203
MANH,Technology,207.92,12122769778.24,0.039026354418178824,0.40594022561657345,0.001953794198475203
XPOF,Consumer Cyclical,4.8,236755200.0,0.039201352133393194,0.29100397877969814,0.0019450723176694387
BRBR,Consumer Defensive,9.79,1138363519.26,0.0392498295968659,0.3077720031650165,0.0019426699589025328
ZETA,Technology,30.79,7728708897.95,0.039500101718711954,0.2872886908301348,0.0019303612277472707
DCTH,Healthcare,16.08,557956623.5999999,0.03983089821993094,0.3427541542185407,0.001914329534545131
IRWD,Healthcare,4.17,689050578.99,0.04032394340579918,0.3601857859814453,0.0018909228217721655
CURV,Consumer Cyclical,2.5,248800952.5,0.04041370671475302,0.28961209965428863,0.0018867228732087577
GDDY,Technology,92.88,11763038747.519999,0.04041446473776071,0.2826701504772727,0.0018866874854000537
KNSA,Healthcare,77.09,6014871162.17,0.04057122600162083,0.2947456046536314,0.0018793976018084517
SONO,Technology,14.49,1714079755.71,0.040710559682853184,0.3704190295929936,0.0018729652808480125
ANAB,Healthcare,56.6,1647111053.2,0.04071522828114153,0.3085675796199915,0.0018727505178987808
AMPL,Technology,12.52,1563949146.32,0.041156767826329,0.40122114604646997,0.0018526592071473654
FICO,Technology,933.3,20157072745.5,0.04144769745184069,0.3419288492107572,0.0018396550239846595
CHYM,Technology,32.31,12232084936.410002,0.04162721405751082,0.35401977056786743,0.0018317215450577855
SFIX,Consumer Cyclical,2.97,396274792.32000005,0.04166175901198068,0.29524872600023955,0.0018302027244684466
TDC,Technology,27.76,2581680000.0,0.04230979889335626,0.34206383236349513,0.0018021703445593082
RHI,Industrials,39.21,4013607275.88,0.042515732562785444,0.28952826853406977,0.0017934411629218169
GSHD,Financial Services,62.32,2213351199.6,0.042714747246738065,0.3064566753659235,0.0017850852402198803
MDB,Technology,356.0,28678057396.0,0.04275404825387733,0.3100345625554617,0.0017834443278236204
OPFI,Financial Services,7.4,630541027.8000001,0.043288827742863474,0.2702704676645125,0.0017614120969687208
TRIP,Industrials,9.085,1064756022.07,0.04330465294596861,0.2627421380936202,0.0017607684085359525
FORR,Industrials,12.18,231895020.0,0.04336653623046198,0.3378687692072674,0.001758255822984427
BLND,Technology,1.49,352404845.31,0.043483581237424594,0.35157134152432795,0.0017535231156225466
EGHT,Technology,1.84,265761321.84,0.043580563890237754,0.2704067553899106,0.0017496208870063546
WDAY,Technology,186.28,44893480000.0,0.04387443202094417,0.316516506818437,0.0017379020385603163
APP,Technology,312.01,104414458510.0,0.04399729436081995,0.2939284314459451,0.0017330489512504168
ASAN,Technology,8.79,2012647328.4299998,0.04415051044142131,0.37321744850365285,0.0017270347293275876
VRRM,Industrials,3.91,594252763.64,0.0444413126812604,0.3093243553164701,0.0017157338577450942
