ticker,n,incoherence_before,incoherence_after,f_min,f_max
KSE,414,0.8985507246376812,0.0,0.932764648300937,1.0003565909901344
KSU,4015,0.9038605230386052,0.0,0.8838557924168231,1.0031484885435056
LEG,5194,0.9655371582595302,0.0,0.43745686330234257,0.9969085444396737
LEHMQ,702,0.47435897435897434,0.0,0.9433962264150942,1.0093847758081333
LLTC,2816,0.9730113636363636,0.0,0.7359318533815178,0.9997705193911113
LM,3669,0.9839193240665032,0.0,0.7317856714748073,1.0000501932439894
LO,1764,0.981859410430839,0.0,0.7080426000734483,0.9993048797441956
LSI,4415,0.9791619479048698,0.0,0.46486235694401484,1.0004829967263555
LUMN,5197,0.8035405041370021,0.0,0.29784695201037614,1.0181818181818183
LVLT,2979,0.0,0.0,1.0,1.0
LXK,2746,0.9646758922068464,0.0,0.815815691158157,1.0001252034556152
MBI,5197,0.8706946315181836,0.0,0.4321255635331441,1.0128824476650564
MDP,4007,0.8822061392563014,0.0,0.5981156148787908,1.0138526951035525
MEE,1362,0.4111600587371512,0.0,0.9437718859429713,1.0088396014143364
MEL,375,0.6826666666666666,0.0,0.9658242066835159,1.0002343566908836
MER,755,0.8225165562913908,0.0,0.9245663283668033,1.0066225165562914
MFE,1298,0.0,0.0,1.0,1.0
MHS,1573,0.0,0.0,1.0,1.0
MI,2705,0.0,0.0,1.0,1.0
MJN,2100,0.9252380952380952,0.0,0.8601458761922574,1.0002814522938361
MMI,3226,0.9150650960942344,0.0,0.9014096360193562,1.0007407407407407
MOLX,1997,0.9449173760640961,0.0,0.8231740801757276,1.0005180005180005
MON,491,0.0,0.0,1.0,1.0
MRO,4755,0.9440588853838066,0.0,0.42357634112792303,0.9997116816321678
MRSH,5197,0.9755628247065615,0.0,0.632790156301962,1.0012463756707468
MTLQQ,1321,0.32475397426192276,0.0,0.9236378703128238,1.0145454545454546
MTW,5197,0.49239946122763134,0.0,0.21454545454545457,1.0103171570500573
MWV,2390,0.9497907949790795,0.0,0.6273778440880268,1.0011721039265482
MWW,2727,0.0,0.0,1.0,1.0
MXIM,3940,0.9144670050761421,0.0,0.6048414682278648,1.0058491970647665
NAVI,3111,0.9710703953712633,0.0,0.5643818466353677,1.0062145366117266
NBL,3714,0.9194938072159397,0.0,0.841209247184351,1.0077457795431977
NBR,5197,0.6563401962670772,0.0,0.8224599509867149,1.027663465935071
NCC,755,0.6622516556291391,0.0,0.894871418074945,1.0123142250530786
NFX,38,0.0,0.0,1.0,1.0
NLSN,2946,0.8886625933469111,0.0,0.770814030443415,1.0010734463276836
NOVL,1339,0.0,0.0,1.0,1.0
NSM,1609,0.0,0.0,1.0,1.0
NWL,5197,0.9849913411583606,0.0,0.49218848167539264,1.0008048289738432
ODP,5018,0.6799521721801515,0.0,0.8355172413793104,1.0136054421768708
OI,5197,0.49336155474312104,0.0,0.9679342240493318,1.0096525096525097
OMX,1974,0.9376899696048632,0.0,0.8116019976949673,1.0049477351916374
PARA,1427,0.0,0.0,1.0,1.0
PBCT,4092,0.9723851417399805,0.0,0.5066111331482216,1.005870372588954
PBG,1045,0.8114832535885167,0.0,0.9229868747782902,1.0017860053337686
PCL,268,0.0,0.0,1.0,1.0
PCP,2536,0.10843848580441641,0.10843848580441641,1.0,1.0
PD,1857,0.0,0.0,1.0,1.0
PDCO,4853,0.9664125283329899,0.0,0.6484221241940957,1.0028718014907554
PETM,2312,0.8650519031141869,0.0,0.9160812425328554,1.0020712510356253
PGL,285,0.7964912280701755,0.0,0.9455640744797371,1.0027395960019057
PLL,1840,0.0,0.0,1.0,1.0
PMCS,2526,0.0,0.0,1.0,1.0
POM,225,0.0,0.0,1.0,1.0
PRGO,5197,0.9919184144698865,0.0,0.6976829268292684,0.9939008392757445
PTV,1228,0.0,0.0,1.0,1.0
PXD,4614,0.9854789770264413,0.0,0.752755453501722,1.0023364572770057
QEP,2706,0.6444937176644494,0.0,0.9504273504273506,1.0175257731958762
QLGC,2673,0.0,0.0,1.0,1.0
RAI,2909,0.9838432451014094,0.0,0.5445234273484675,1.000308546744832
RDC,3340,0.6062874251497006,0.0,0.9317403164211675,1.0138357374153664
RHT,3400,0.0,0.0,1.0,1.0
RIG,5197,0.4519915335770637,0.0,0.5856487601398279,1.0160226201696512
ROH,817,0.8384332925336597,0.0,0.9183222506393862,1.004559118236473
RRD,4065,0.8405904059040591,0.0,0.21561032863849763,1.013309671694765
RSHCQ,2318,0.6967213114754098,0.0,0.8327436113451278,1.0118694362017804
RTN,3587,0.9481460830777809,0.0,0.7069319921277062,1.0117821815603794
RX,1043,0.5541706615532119,0.0,0.9731234866828087,1.00284178187404
SBL,256,0.0,0.0,1.0,1.0
SBNY,4338,0.9024896265560166,0.0,0.9137996941896025,1.0037098050961684
SCG,3271,0.9443595230816264,0.0,0.5729393862541212,1.0041478129713424
SE,2226,0.0,0.0,1.0,1.0
SEDG,2875,0.0,0.0,1.0,1.0
SEE,5097,0.9823425544437905,0.0,0.6848090834172694,1.0002387774594077
SGP,142,0.0,0.0,1.0,1.0
SIAL,2488,0.9268488745980707,0.0,0.9021191338522001,1.000465666081599
SIG,5197,0.9228401000577257,0.0,0.720010055304173,1.0035852210502045
SII,1551,0.8439716312056738,0.0,0.8592180458699428,1.0026234743926086
SLR,439,0.0,0.0,1.0,1.0
SNI,2450,0.9420408163265306,0.0,0.8919756502490315,0.9979818485789347
SNV,5031,0.9787318624527926,0.0,0.2648575587440216,0.9975843579049992
SOV,774,0.0,0.0,1.0,1.0
SPLS,154,0.0,0.0,1.0,1.0
SRCL,4741,0.0,0.0,1.0,1.0
SSP,5197,0.6611506638445257,0.0,0.06342290988056459,1.015058561070831
STI,1122,0.0,0.0,1.0,1.0
STJ,2771,0.9357632623601588,0.0,0.8860477595921653,1.0010468624915327
STR,1996,0.9884769539078156,0.0,0.5500933416303672,0.9885217391304347
SUNEQ,2603,0.0,0.0,1.0,1.0
SVU,3223,0.4877443375736891,0.0,0.7968380527143085,1.0156815440289504
SWN,4717,0.0,0.0,1.0,1.0
SWY,2284,0.9767950963222417,0.0,0.8297527200791297,0.999928962136819
TE,1698,0.0,0.0,1.0,1.0
TEG,2388,0.97571189279732,0.0,0.6117380637856198,1.0010698238356752
TGNA,5085,0.9876106194690265,0.0,0.303646173969915,0.9966069295101553
TIE,1765,0.7909348441926346,0.0,0.930939226519337,1.0
TIF,3779,0.9740672135485579,0.0,0.7527421699484604,1.0
TIN,1539,0.8310591293047433,0.0,0.40768003403893205,1.0
TLAB,1993,0.8810837932764677,0.0,0.677906976744186,1.0050251256281408
TRB,496,0.4495967741935484,0.0,0.970105045634579,1.00392017106201
TRIP,3703,0.5390224142587091,0.0,0.882183908045977,1.016473543234466
TSG,1236,0.0,0.0,1.0,1.0
TSS,3450,0.8797101449275362,0.0,0.7538420773714891,1.0043303482587065
TWC,2355,0.9341825902335457,0.0,0.3377459091744806,1.0025491546981822
TWTR,2259,0.0,0.0,1.0,1.0
TWX,3135,0.960127591706539,0.0,0.691848829301467,1.0026825316724655
TXU,446,0.8318385650224215,0.0,0.9520110957004162,1.0002939015429828
UA,2614,0.004208110175975516,0.004208110175975516,1.0,1.0
UAA,5197,0.0,0.0,1.0,1.0
UIS,5197,0.0,0.0,1.0,1.0
