ticker,src,n,med_o_c,min_o_c,max_o_c,frac_close_outside_lowhigh
APAM,local,3396,0.9997837015229376,0.8944534670606946,1.1232032687334832,0.0
APD,local,5201,0.9996701497614039,0.903705512373159,1.1185978922008375,0.0
APG,local,1597,1.0,0.9067460616738573,1.0833333730697632,0.0
APGE,local,789,0.9997032918753256,0.8441998232674399,1.2046380845009848,0.0
APH,local,5201,0.9994201085302887,0.8949111753288208,1.1559258920175057,0.0
APLD,local,1103,1.0029112749129727,0.6415094753396453,1.6538462878684372,0.0
APLE,local,2843,1.0,0.8109374968567864,1.2024793364003288,0.0
APO,local,3882,0.9994750616985404,0.849812646563171,1.1438152231150187,0.0
APP,local,1355,0.9985627570405138,0.852160331830947,1.2306074618681888,0.0
APPF,local,2815,0.9988235473632813,0.7819719784572663,1.1944768410714972,0.0
APPN,local,2333,0.9993506963990124,0.7594766788075393,1.3647857666015626,0.0
APTV,local,3712,0.9999170368214492,0.8188762455108216,1.3228018502930836,0.0
AR,local,3245,1.0008196909047686,0.7719298380147958,1.1868131997691533,0.0
ARCB,local,5201,1.0002564329598047,0.8266443412614464,1.2763945976768698,0.0
ARCC,local,5201,1.0,0.8323917370854581,1.277685913284998,0.0
ARE,local,5201,0.999445231125476,0.845573571519861,1.2613872801254047,0.0
ARES,local,3105,0.9994623532969494,0.852778027857446,1.1167011709972932,0.0
ARLP,local,5201,1.000867322559708,0.594444441010432,1.3685566459176963,0.0
ARMK,local,3201,0.9996895905596176,0.7120963687556743,1.177931886677664,0.0
AROC,local,4791,1.0,0.6189111976871895,1.7380953624405346,0.0
ARQT,local,1658,1.001783879042201,0.7312723383943466,1.224086819194931,0.0
ARR,local,4719,1.0,0.7845352237086322,1.4502103380110545,0.0
ARW,local,5201,0.9995968796244054,0.8888889600489622,1.1167512817318594,0.0
ARWR,local,5201,1.0030511031960747,0.605769271328606,1.6955902874174884,0.0
ARXS,local,99,0.999143626025057,0.8413410204001172,1.0830783393705024,0.0
ASB,local,5201,0.9995229808220455,0.8261049465642986,1.1907216925615465,0.0
ASH,local,5201,0.9999196522509309,0.880579704247811,1.3078359462488547,0.0
ASO,local,1488,1.0006437996120403,0.811071805936882,1.140816335467585,0.0
ASTS,local,1719,1.0,0.6630971962997123,1.276595757378563,0.0
ATI,local,5201,1.000281722205138,0.8248974359793926,1.2351816471487098,0.0
ATKR,local,2574,1.0,0.7698360505651255,1.5535116943515286,0.0
ATMU,local,822,1.0003621786625438,0.877390313780293,1.1211226517236712,0.0
ATO,local,5201,0.9996312600083931,0.8899990767648827,1.146751763036308,0.0
ATR,local,5201,0.999464068242704,0.842200182513827,1.1105057972600894,0.0
ATRC,local,5201,1.0,0.6170886059236,1.6338797483159735,0.0
ATRO,local,5201,1.0,0.6177606323677675,1.3921303119210928,0.0
AU,local,5201,1.0005575817775085,0.7302405881188561,1.2523426780439462,0.0
AUB,local,5201,1.000252993962991,0.8027118747517213,1.2565444775217969,0.0
AUGO,local,288,0.9962585174750439,0.8967525051482051,1.1147773571013082,0.0
AVA,local,5201,0.9997543679781281,0.854657900776734,1.2989491542839335,0.0
AVAH,local,1346,1.0,0.789189199638506,1.238709687839314,0.0
AVAV,local,4937,1.0005926061559607,0.8111872482451662,1.3840979757431833,0.0
AVEX,local,98,1.0080723768801922,0.7996541328541842,1.20649656724662,0.0
AVGO,local,4297,0.9995892396859889,0.8621239497075954,1.1098198868199338,0.0
AVNT,local,5201,1.0,0.7711294321514929,1.3800591692301174,0.0
AVPT,local,1717,1.0,0.8583691268190418,1.1480297485438187,0.0
AVT,local,5201,0.9997471654225669,0.8672839215462804,1.1611924446252093,0.0
AVTR,local,1836,1.0,0.8147428978322548,1.1531127063330286,0.0
AVY,local,5201,0.9993985045438717,0.8523149999996056,1.1388766540367143,0.0
AWI,local,5001,0.9994457221406937,0.8222384570875164,1.1330247176195836,0.0
AWK,local,4622,0.9995404306628377,0.8760288940870373,1.1433111526000106,0.0
AWR,local,5201,0.9997646833083373,0.8002794574346536,1.1344459210904676,0.0
AX,local,5201,1.0,0.7719569191939527,1.3477253082331662,0.0
AXGN,local,5201,1.0,0.5,1.6249999161809696,0.0
AXON,local,5201,1.0,0.8423585615562311,1.2449275411394707,0.0
AXP,local,5201,0.9995024665360662,0.8650709688435936,1.1723502532056642,0.0
AXSM,local,2713,1.000888764921904,0.7772021032620803,1.3500931386416943,0.0
AXTA,local,2970,1.0004578939836968,0.8480781047075088,1.1860391477585521,0.0
AXTI,local,5201,1.0,0.7642857647672,1.3101736811223255,0.0
AYI,local,5201,0.9993494728502934,0.8482063946028269,1.173230645383727,0.0
AZO,local,5201,0.9996511230922895,0.9054347824799253,1.1627906976744187,0.0
AZZ,local,5201,1.0,0.8770174460219713,1.189024352422197,0.0
BA,local,5201,1.0,0.8633876369846767,1.1793420950588334,0.0
BAC,local,5201,1.0001834917728574,0.8230593435803241,1.2705882627933776,0.0
BAH,local,3972,0.9995685512547638,0.8812649317457122,1.1194133199747618,0.0
BALL,local,5201,0.9995845714066613,0.9190484422808168,1.1285425591007814,0.0
BAM,local,943,1.0,0.8962143551551268,1.0851755793152877,0.0
