n_windows,years,model_mult,spy_mult,mult_ratio,model_cagr,spy_cagr,excess_cagr,mean_excess,t_excess,win_rate,sharpe,info_ratio,vol_ann,max_dd,skew,kurt,mean_exposure,mean_turnover,mean_n,mean_ic,t_ic,n_ic,decile_volq_excess,t_decile,n_decile,cell_id,sig_features,sig_horizon,sig_label,sig_label_basis,sig_model,sig_depth,sig_eta,sig_rounds,sig_train,sig_train_cap,sig_universe,sig_cap_tier,sig_step,sig_seed,prt_top_n,prt_weighting,prt_bucket,prt_cost_bps,prt_cost_model,prt_untradable,sig_shuffle_col,sig_shuffle_seed,sig_train_exclude,null_p50,null_p95,null_pctile,vs_null
82,13.02,6.048064108494971,2.142442100631625,2.8229766894106065,0.14822025157800844,0.06026048372405235,0.0879597678539561,0.015425404302551717,2.0143075914943203,0.5609756097560976,0.6980291431389485,0.5582076427512428,0.23972874729820945,-0.3981145727951708,0.2298545285494118,3.473448818470604,1.0,0.9463414634146341,5.0,0.002756732459287833,0.12953702492463215,82,0.006064804545580019,2.155187860461381,82,pf_curve_beta_120_h40_q75_trd_xgb_d3e01r100_expanding_cap500k_pit_s40_shufcurve_beta_1202,pf_curve_beta_120,40,q75,tradable,xgb,3,0.1,100,expanding,500000,pit,all,40,0,5,invvol,volq,15.0,turnover,drop,curve_beta_120,2.0,,,,,
82,13.02,6.02613457031353,2.142442100631625,2.8127409223973574,0.14789998896148426,0.06026048372405235,0.08763950523743191,0.014637984975545804,2.0357002188615843,0.573170731707317,0.7414433672437636,0.5641359965664003,0.2190039722850309,-0.3981305488619826,0.2946662199108345,3.2418900406636078,1.0,0.9463414634146339,5.0,0.0024469247082017555,0.11396983420105512,82,0.006059418427787814,2.005619777578965,82,pf_rate_beta_250_h40_q75_trd_xgb_d3e01r100_expanding_cap500k_pit_s40_shufrate_beta_2505,pf_rate_beta_250,40,q75,tradable,xgb,3,0.1,100,expanding,500000,pit,all,40,0,5,invvol,volq,15.0,turnover,drop,rate_beta_250,5.0,,,,,
82,13.02,6.013256667558176,2.142442100631625,2.8067300702247096,0.14771141612673255,0.06026048372405235,0.0874509324026802,0.014975666474221896,2.095170215851625,0.5975609756097561,0.7187184002688468,0.580616402525456,0.22888731049893138,-0.36603433069384794,0.15701856031140424,2.9878028498443445,1.0,0.9439024390243902,5.0,0.0029684247582559254,0.13756915295017938,82,0.005864981532829922,1.993575104174534,82,pf_earnings_move_sens_h40_q75_trd_xgb_d3e01r100_expanding_cap500k_pit_s40_shufearnings_move_sens1,pf_earnings_move_sens,40,q75,tradable,xgb,3,0.1,100,expanding,500000,pit,all,40,0,5,invvol,volq,15.0,turnover,drop,earnings_move_sens,1.0,,,,,
82,13.02,5.989726375244427,2.142442100631625,2.7957471399010325,0.14736589390781663,0.06026048372405235,0.08710541018376428,0.014726168528209328,2.1837746659750406,0.5975609756097561,0.7307547556180196,0.6051705875215867,0.22296722529268712,-0.36580983119197585,0.149399086892711,3.1484269251168633,1.0,0.9439024390243902,5.0,0.0030258636314457418,0.1401626786100001,82,0.005839708576717632,1.9792603993426916,82,price_fund_h40_q75_trd_xgb_d3e01r100_expanding_cap500k_pit_s40,price_fund,40,q75,tradable,xgb,3,0.1,100,expanding,500000,pit,all,40,0,5,invvol,volq,15.0,turnover,drop,,,,,,,
82,13.02,5.924259935846808,2.142442100631625,2.765190216389159,0.1463979400651363,0.06026048372405235,0.08613745634108394,0.014665994033639301,2.188289638416175,0.5853658536585366,0.7237975379588335,0.6064217827879378,0.22458687041965666,-0.34040675889746463,0.056389408589196485,3.125645820589196,1.0,0.948780487804878,5.0,0.002978725910191437,0.1380111538853054,82,0.005442031359704516,1.9025072406883992,82,pf_revenue_growth_delta_h40_q75_trd_xgb_d3e01r100_expanding_cap500k_pit_s40_shufrevenue_growth_delta1,pf_revenue_growth_delta,40,q75,tradable,xgb,3,0.1,100,expanding,500000,pit,all,40,0,5,invvol,volq,15.0,turnover,drop,revenue_growth_delta,1.0,,,,,
82,13.02,5.850903576497989,2.142442100631625,2.730950616949252,0.1453015273849041,0.06026048372405235,0.08504104366085175,0.01490066128627612,2.066941894953999,0.6219512195121951,0.6967210770456802,0.5727937320784863,0.2354359549029242,-0.39413313575488584,0.05382249965052396,3.273794755655037,1.0,0.9390243902439023,5.0,0.0029492144457928535,0.13675766754101384,82,0.005349201291080802,1.9058199746814135,82,pf_revenue_growth_delta_h40_q75_trd_xgb_d3e01r100_expanding_cap500k_pit_s40_shufrevenue_growth_delta0,pf_revenue_growth_delta,40,q75,tradable,xgb,3,0.1,100,expanding,500000,pit,all,40,0,5,invvol,volq,15.0,turnover,drop,revenue_growth_delta,0.0,,,,,
82,13.02,5.823294881788057,2.142442100631625,2.718064063468161,0.14488558751459846,0.06026048372405235,0.08462510379054611,0.014382404230829772,2.1116493432761265,0.5975609756097561,0.7205065349804299,0.585183120594271,0.22313409840427503,-0.36580983119197585,0.14545014531463815,3.114517682338957,1.0,0.9414634146341462,5.0,0.0029188606697923957,0.13528399451779716,82,0.005811311108971391,1.999262253528062,82,pf_earnings_move_sens_h40_q75_trd_xgb_d3e01r100_expanding_cap500k_pit_s40_shufearnings_move_sens2,pf_earnings_move_sens,40,q75,tradable,xgb,3,0.1,100,expanding,500000,pit,all,40,0,5,invvol,volq,15.0,turnover,drop,earnings_move_sens,2.0,,,,,
82,13.02,5.8104719382572565,2.142442100631625,2.7120788639021978,0.14469178346318556,0.06026048372405235,0.08443129973913321,0.013976371300309817,2.289348333551017,0.5975609756097561,0.7543385735412825,0.6344273049976255,0.2097369453323731,-0.40703203745302485,-0.23651644583892523,2.554056146683429,1.0,0.948780487804878,5.0,0.002701453213532811,0.1253084086655564,82,0.006261405874490256,2.2004290182672044,82,pf_momentum_120_ind_rel_h40_q75_trd_xgb_d3e01r100_expanding_cap500k_pit_s40_shufmomentum_120_ind_rel4,pf_momentum_120_ind_rel,40,q75,tradable,xgb,3,0.1,100,expanding,500000,pit,all,40,0,5,invvol,volq,15.0,turnover,drop,momentum_120_ind_rel,4.0,,,,,
82,13.02,5.800428736050547,2.142442100631625,2.7073911282552237,0.14453971607200922,0.06026048372405235,0.08427923234795687,0.014439451336897845,2.1732100167392194,0.6219512195121951,0.7190177293561624,0.6022428976437729,0.22409575144267943,-0.47739084487380123,-0.1979862820959888,2.750704799752859,1.0,0.9487804878048782,5.0,0.0028666883299926656,0.13318661154342,82,0.0066423250703359325,2.2932789488345318,82,pf_volatility_60_ind_rel_h40_q75_trd_xgb_d3e01r100_expanding_cap500k_pit_s40_shufvolatility_60_ind_rel6,pf_volatility_60_ind_rel,40,q75,tradable,xgb,3,0.1,100,expanding,500000,pit,all,40,0,5,invvol,volq,15.0,turnover,drop,volatility_60_ind_rel,6.0,,,,,
82,13.02,5.750536402712844,2.142442100631625,2.6841035288736608,0.14378065794912742,0.06026048372405235,0.08352017422507507,0.014218631092845458,2.095996451002376,0.5853658536585366,0.716157336962111,0.5808453699273596,0.22304909908029902,-0.3556911293000089,0.168412493717772,3.1364267416682865,1.0,0.9414634146341462,5.0,0.003257424320046849,0.15101606564624986,82,0.005886911055271459,2.010876844434581,82,pf_earnings_move_sens_h40_q75_trd_xgb_d3e01r100_expanding_cap500k_pit_s40_shufearnings_move_sens6,pf_earnings_move_sens,40,q75,tradable,xgb,3,0.1,100,expanding,500000,pit,all,40,0,5,invvol,volq,15.0,turnover,drop,earnings_move_sens,6.0,,,,,
82,13.02,5.71169261426876,2.142442100631625,2.6659729159471164,0.14318547036702522,0.06026048372405235,0.08292498664297288,0.014536401062572162,2.13769937052524,0.573170731707317,0.6968104334540457,0.5924021393606878,0.23211383085746984,-0.49818670284243005,-0.19378697830684388,2.69522083944019,1.0,0.9365853658536585,5.0,0.002839967836391333,0.13328703374437767,82,0.006275096698275444,2.1770124358276544,82,pf_earnings_in_window_seasonal_h40_q75_trd_xgb_d3e01r100_expanding_cap500k_pit_s40_shufearnings_in_window_seasonal6,pf_earnings_in_window_seasonal,40,q75,tradable,xgb,3,0.1,100,expanding,500000,pit,all,40,0,5,invvol,volq,15.0,turnover,drop,earnings_in_window_seasonal,6.0,,,,,
